Fri. Feb. 12, 2016             LANDSAT 2                 Time: 07:07
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L18039060            Path/Row: 036 / 032

L0R Reference Image: L21XXX1175190170101_HDF.160430946
Acquisition Date: Jul 09, 1975

Band Number:  7

GLS date for each WRS-2 path/row used:
Path  Row   Date
033   032   09-20-2002
033   033   09-14-2000
034   031   10-05-1999
034   032   09-24-2001
034   033   09-24-2001


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0330320010_02   40.902818 -104.674681  1689.561       0.000     0.000    37.725     8.141
0330320015_02   39.949176 -105.364773  2217.265       0.000     0.000   128.819    10.157
0330320023_02   40.732858 -104.187358  1501.356       0.000     0.000    -1.429     0.336
0330320027_02   40.757019 -104.164673  1499.815       0.000     0.000    17.744    -3.116
0330320028_02   40.884042 -104.631686  1642.887       0.000     0.000    47.542    14.824
0330320030_02   40.215235 -105.416964  2111.725       0.000     0.000    -0.093   -12.913
0330320031_02   40.724456 -104.146608  1484.024       0.000     0.000   -10.428    12.426
0330320032_02   40.764020 -104.124776  1518.129       0.000     0.000    -0.584    -0.381
0330320037_02   40.837793 -104.280374  1525.352       0.000     0.000    50.800    24.966
0330320038_02   40.843921 -104.524079  1594.883       0.000     0.000    32.475     4.580
0330320039_02   40.905698 -105.051887  1772.102       0.000     0.000    31.024    -5.404
0330320052_02   39.838356 -105.084735  1650.901       0.000     0.000    29.204    11.710
0330320053_02   39.874498 -105.461902  2746.875       0.000     0.000    26.406    -5.858
0330320055_02   40.782194 -104.170402  1509.633       0.000     0.000    16.626   -10.513
0330320062_02   40.706177 -105.138386  1584.387       0.000     0.000   -15.605     1.575
0330320064_02   40.891083 -105.087132  1753.776       0.000     0.000    27.395     7.713
0330320073_02   40.847031 -104.205538  1519.199       0.000     0.000    35.181    17.371
0330320091_02   40.683682 -104.080741  1475.000       0.000     0.000   -18.063   -19.055
0330320092_02   40.838042 -105.155029  1759.000       0.000     0.000     5.046     4.602
0330320103_02   40.824086 -103.969587  1573.196       0.000     0.000    17.241   -13.753
0330320109_02   40.606788 -105.058747  1501.146       0.000     0.000   -91.183  -117.524
0330320117_02   40.317952 -105.215271  1743.692       0.000     0.000  -106.912    50.151
0330320122_02   40.585598 -105.169688  1643.000       0.000     0.000    36.153    66.891
0330320124_02   40.775585 -104.470886  1566.000       0.000     0.000   -69.021    33.974
0330320126_02   40.350643 -105.222087  1743.505       0.000     0.000   124.252   -18.380
0330320129_02   40.182197 -104.973101  1466.643       0.000     0.000    -1.271    -5.394
0330320150_02   40.290377 -105.219066  1696.156       0.000     0.000   -14.533     0.424
0330320159_02   40.733654 -104.461981  1548.667       0.000     0.000    -5.838    31.716
0330320171_02   39.997354 -104.574992  1530.000       0.000     0.000  -156.006   -77.806
0330320176_02   40.447068 -105.037736  1498.000       0.000     0.000    22.681     2.759
0330320179_02   40.816090 -105.195174  1757.009       0.000     0.000   -12.777     2.987
0330320193_02   40.718981 -104.212746  1486.544       0.000     0.000     5.318    -3.172
0330320197_02   40.150243 -105.278142  1701.720       0.000     0.000    35.571    25.220
0330320203_02   40.331353 -105.099475  1558.370       0.000     0.000    -2.165   -34.369
0330320230_02   40.311811 -105.170060  1582.554       0.000     0.000    -1.040    -5.779
0330320232_02   40.143074 -105.217888  1573.243       0.000     0.000    20.998    16.419
0330320236_02   40.066605 -105.205331  1560.471       0.000     0.000    20.057    13.337
0330320239_02   40.272363 -105.297343  1751.479       0.000     0.000    -4.977   -15.477
0330320241_02   40.728906 -105.113565  1599.295       0.000     0.000     4.162     4.430
0330320244_02   40.534356 -105.060810  1508.000       0.000     0.000   -24.665    23.079
0330320246_02   39.832430 -104.952202  1543.970       0.000     0.000    37.409    30.961
0330320255_02   40.339701 -105.130570  1550.000       0.000     0.000    10.720   -25.917
0330320260_02   40.528056 -105.151478  1644.550       0.000     0.000    80.546   137.757
0330320264_02   40.686785 -105.062013  1577.578       0.000     0.000   -25.950    -0.298
0330320288_02   40.653272 -105.061982  1554.000       0.000     0.000   -11.666    15.152
0330320290_02   40.195066 -105.158489  1534.157       0.000     0.000    35.957     9.059
0330320302_02   40.228626 -105.121541  1540.302       0.000     0.000    12.646    -6.209
0330320309_02   40.656990 -105.137929  1573.748       0.000     0.000   -21.708   -12.695
0330320312_02   40.669419 -104.713442  1522.697       0.000     0.000   -13.532   -37.522
0330320317_02   40.110306 -105.249113  1620.201       0.000     0.000    31.336    16.119
0330320340_02   40.654870 -105.097115  1535.000       0.000     0.000   -31.876     4.306
0330320359_02   39.873459 -105.125121  1667.981       0.000     0.000    65.239    62.354
0330320363_02   40.332876 -104.412201  1363.832       0.000     0.000   -60.477   -32.950
0330320369_02   40.261028 -105.148764  1543.671       0.000     0.000    -6.859   -15.180
0330320377_02   40.191495 -105.195839  1547.794       0.000     0.000     9.675    -6.515
0330320379_02   39.875810 -105.399816  2762.105       0.000     0.000    14.977     1.952
0330320402_02   40.705749 -105.236048  1658.626       0.000     0.000   -23.697     6.464
0330320403_02   39.685559 -105.387522  2449.354       0.000     0.000   -12.262    16.045
0330320418_02   40.597514 -105.292751  2211.880       0.000     0.000   -49.512    -4.588
0330320425_02   39.698222 -105.311310  2241.830       0.000     0.000    11.507    10.105
0330320428_02   39.655213 -105.322308  2154.432       0.000     0.000     3.844    -6.280
0330330001_02   39.560601 -105.204530  2251.796       0.000     0.000   -19.814     8.612
0330330012_02   39.645971 -105.340447  2256.003       0.000     0.000     4.858   -10.955
0330330027_02   39.634628 -104.775092  1729.000       0.000     0.000    34.046   -24.241
0330330147_02   39.827878 -105.493141  2760.471       0.000     0.000    21.949    -1.590
0330330155_02   39.526878 -105.298676  2514.468       0.000     0.000   -42.334    -5.293
0330330218_02   39.621495 -105.156823  1764.518       0.000     0.000    10.794    -0.933
0330330236_02   39.572941 -105.027827  1629.204       0.000     0.000    24.531    32.712
0330330287_02   39.497249 -105.254238  2575.042       0.000     0.000   -42.206     7.513
0330330324_02   39.604204 -105.150145  1796.481       0.000     0.000    -2.332    13.612
0330330348_02   39.682885 -105.378411  2406.152       0.000     0.000   -12.147    22.086
0330330374_02   39.410798 -105.229530  2235.921       0.000     0.000   -32.409    -4.938
0330330395_02   39.538832 -105.371343  2784.627       0.000     0.000   -17.227     1.109
0330330462_02   39.512675 -105.612002  3500.022       0.000     0.000   -25.353    -4.405
0340310105_02   41.071102 -105.933681  2315.739       0.000     0.000    60.997    37.610
0340310127_02   40.910226 -104.866295  1732.030       0.000     0.000    51.123    -0.608
0340310244_02   40.919947 -105.140256  1960.009       0.000     0.000    30.457   -12.265
0340320011_02   39.506654 -105.278350  2526.448       0.000     0.000   -25.352    -6.813
0340320013_02   39.948116 -105.358095  2165.516       0.000     0.000    53.017    18.064
0340320014_02   40.568304 -105.391149  2439.219       0.000     0.000   -57.357   -33.631
0340320017_02   40.664462 -105.202895  1575.408       0.000     0.000   -27.677   -12.454
0340320023_02   39.639704 -105.254059  2287.842       0.000     0.000    -6.085   -18.295
0340320025_02   39.645700 -105.340446  2257.770       0.000     0.000     8.921    -8.268
0340320028_02   40.471939 -104.993158  1488.884       0.000     0.000   -70.158   -25.854
0340320032_02   40.072551 -105.205701  1556.990       0.000     0.000    55.230     6.138
0340320035_02   39.766942 -105.140340  1665.077       0.000     0.000    44.828     2.785
0340320042_02   40.158879 -105.840398  2520.403       0.000     0.000    66.397    -6.972
0340320043_02   40.838041 -105.155740  1759.000       0.000     0.000     4.497     4.933
0340320045_02   39.464997 -105.383505  2541.235       0.000     0.000   -42.402    12.021
0340320058_02   40.161451 -105.893976  2515.200       0.000     0.000    42.401    42.150
0340320060_02   40.653002 -105.061982  1554.000       0.000     0.000    -0.896    18.621
0340320065_02   40.611052 -105.131806  1535.204       0.000     0.000   -25.213     0.840
0340320067_02   40.884042 -104.631686  1642.887       0.000     0.000    48.665    10.093
0340320075_02   40.533872 -105.930078  2950.298       0.000     0.000   -12.626   -41.910
