==============================================================================
==============================================================================
Fri. Feb. 12 2016                  LANDSAT 2                       Time: 13:09
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 9991602120001_14199                          Path / Row - 36 / 32
Reference Image: L21XXX1175190170101_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 54.1%
Rank   2 -- 42.0%
Rank   3 --  3.9%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0360320324   41.08234   -105.57954    -1.00     -0.17     1.01     3 
0360320392   41.05415   -105.85419    -0.85     -0.47     0.97     2 
0360320399   41.05586   -105.57931    -0.57      0.33     0.66     2 
0360320466   41.02737   -105.89310    -0.64     -0.65     0.91     2 
0360320467   41.02767   -105.85385    -0.72     -0.62     0.95     2 
0360320468   41.02796   -105.81459    -0.89     -0.28     0.93     2 
0360320473   41.02918   -105.61833    -0.42      0.22     0.47     1 
0360320474   41.02938   -105.57908    -0.08     -0.44     0.45     1 
0360320547   41.00248   -105.65732    -0.40      0.38     0.55     2 
0360320548   41.00269   -105.61809    -0.13     -0.16     0.20     1 
0360320549   41.00290   -105.57885     0.03     -0.43     0.43     1 
0360320551   41.00326   -105.50037     0.16     -0.43     0.46     1 
0360320552   41.00343   -105.46113    -0.01     -0.12     0.12     1 
0360320553   41.00358   -105.42189    -0.37     -0.05     0.37     1 
0360320620   40.97552   -105.73550    -0.11      1.00     1.01     3 
0360320621   40.97576   -105.69628    -0.17      0.68     0.70     2 
0360320622   40.97599   -105.65706    -0.17     -0.06     0.18     1 
0360320623   40.97621   -105.61784    -0.10     -0.02     0.10     1 
0360320624   40.97641   -105.57862    -0.02     -0.15     0.15     1 
0360320625   40.97660   -105.53939     0.00     -0.26     0.26     1 
0360320626   40.97678   -105.50017    -0.03     -0.02     0.04     1 
0360320627   40.97695   -105.46095    -0.05      0.05     0.07     1 
0360320628   40.97709   -105.42172    -0.34     -0.12     0.36     1 
0360320696   40.94928   -105.69600    -0.24      0.01     0.24     1 
0360320697   40.94951   -105.65680     0.02     -0.05     0.05     1 
0360320698   40.94973   -105.61759    -0.10     -0.06     0.12     1 
0360320699   40.94993   -105.57838     0.11     -0.04     0.12     1 
0360320700   40.95012   -105.53918     0.01     -0.11     0.11     1 
0360320701   40.95030   -105.49997     0.07     -0.14     0.16     1 
0360320702   40.95046   -105.46076    -0.03      0.06     0.07     1 
0360320712   40.95136   -105.06868    -0.83      0.05     0.83     2 
0360320721   40.95103   -104.71579    -1.01     -0.24     1.04     3 
0360320769   40.92230   -105.77410     0.02      0.25     0.25     1 
0360320770   40.92256   -105.73492    -0.01     -0.09     0.09     1 
0360320771   40.92280   -105.69572     0.07      0.05     0.08     1 
0360320772   40.92303   -105.65654     0.28      0.08     0.29     1 
0360320773   40.92325   -105.61735     0.32     -0.25     0.40     1 
0360320774   40.92345   -105.57815     0.18     -0.06     0.19     1 
0360320775   40.92364   -105.53896     0.20     -0.18     0.27     1 
0360320776   40.92381   -105.49977     0.07     -0.31     0.31     1 
0360320777   40.92398   -105.46058    -0.07     -0.04     0.08     1 
0360320786   40.92485   -105.10784    -0.58      0.02     0.58     2 
0360320787   40.92488   -105.06865    -0.89     -0.04     0.89     2 
0360320788   40.92489   -105.02945    -0.69     -0.04     0.69     2 
0360320792   40.92483   -104.87268    -0.86     -0.16     0.88     2 
0360320794   40.92471   -104.79429    -0.68      0.13     0.69     2 
0360320795   40.92464   -104.75510    -0.78      0.04     0.78     2 
0360320796   40.92455   -104.71591    -1.03     -0.15     1.04     3 
0360320844   40.89582   -105.77380     0.13      0.08     0.16     1 
0360320849   40.89697   -105.57792     0.18     -0.09     0.20     1 
0360320850   40.89715   -105.53875     0.12     -0.03     0.12     1 
0360320851   40.89733   -105.49957     0.25     -0.11     0.27     1 
0360320852   40.89749   -105.46040     0.22     -0.17     0.28     1 
0360320861   40.89836   -105.10780    -0.57     -0.00     0.57     2 
