Thu. Mar.  8, 2018             LANDSAT 3                 Time: 17:18
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L866585            Path/Row: 036 / 032

L0R Reference Image: L31XXX1178183000101_HDF.180672315
Acquisition Date: Jul 02, 1978

Band Number:  7

GLS date for each WRS-2 path/row used:
Path  Row   Date
033   032   09-20-2002
033   033   09-14-2000
034   031   10-05-1999
034   032   09-24-2001
034   033   09-24-2001


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0330320010_02   40.902818 -104.674681  1689.561       0.000     0.000     3.003     2.269
0330320015_02   39.949176 -105.364773  2217.265       0.000     0.000    76.547    -9.206
0330320023_02   40.732858 -104.187358  1501.356       0.000     0.000   -30.565     5.650
0330320027_02   40.757019 -104.164673  1499.815       0.000     0.000     4.620    11.939
0330320028_02   40.884042 -104.631686  1642.887       0.000     0.000    12.282     2.811
0330320030_02   40.215235 -105.416964  2111.725       0.000     0.000    -2.083   -17.059
0330320031_02   40.724456 -104.146608  1484.024       0.000     0.000    42.286    23.816
0330320032_02   40.764020 -104.124776  1518.129       0.000     0.000    21.760    23.693
0330320035_02   40.789218 -104.248897  1500.696       0.000     0.000   -17.433   -23.851
0330320038_02   40.843921 -104.524079  1594.883       0.000     0.000   -11.994    -2.587
0330320042_02   40.680079 -104.214979  1482.228       0.000     0.000    -5.281    -3.860
0330320046_02   40.191429 -105.231436  1581.008       0.000     0.000    -6.113    -0.994
0330320052_02   39.838356 -105.084735  1650.901       0.000     0.000    19.432     0.936
0330320053_02   39.874498 -105.461902  2746.875       0.000     0.000   -13.846    15.450
0330320054_02   39.589297 -104.187604  1641.683       0.000     0.000   -28.485   -17.093
0330320055_02   40.782194 -104.170402  1509.633       0.000     0.000    10.982     8.563
0330320057_02   39.949927 -104.853082  1507.087       0.000     0.000   -18.491     3.283
0330320062_02   40.706177 -105.138386  1584.387       0.000     0.000   -15.925    -2.081
0330320063_02   40.689329 -104.111552  1473.000       0.000     0.000     3.266    19.692
0330320064_02   40.891083 -105.087132  1753.776       0.000     0.000    -5.794    18.115
0330320083_02   40.744174 -104.109402  1503.991       0.000     0.000    23.951    22.397
