==============================================================================
==============================================================================
Thu. Mar. 8 2018                  LANDSAT 3                       Time: 23:18
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101803081133_00026                          Path / Row - 36 / 32
Reference Image: L31XXX1178183000101_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 75.0%
Rank   2 -- 25.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0360320090   41.08521   -105.82030     0.27      0.09     0.28     1 
0360320171   41.06018   -105.58006     0.13     -0.26     0.29     1 
0360320245   41.03349   -105.61980     0.05      0.07     0.09     1 
0360320246   41.03370   -105.57983     0.28     -0.67     0.73     2 
0360320251   41.03453   -105.37998     0.23     -0.08     0.25     1 
0360320252   41.03466   -105.34001    -0.67     -0.21     0.70     2 
0360320253   41.03477   -105.30003    -0.66     -0.26     0.71     2 
0360320316   41.00604   -105.77936    -0.31     -0.34     0.46     1 
0360320319   41.00679   -105.65951     0.11      0.18     0.21     1 
0360320321   41.00722   -105.57960     0.30     -0.57     0.65     2 
0360320325   41.00791   -105.41978     0.37      0.01     0.37     1 
0360320326   41.00805   -105.37982    -0.07     -0.00     0.07     1 
0360320327   41.00817   -105.33987    -0.67     -0.19     0.70     2 
0360320328   41.00828   -105.29991    -0.29     -0.41     0.50     2 
0360320329   41.00838   -105.25996    -0.05     -0.33     0.33     1 
0360320330   41.00846   -105.22000     0.12     -0.24     0.27     1 
0360320392   40.97982   -105.73912     0.09      0.45     0.45     1 
0360320393   40.98007   -105.69918     0.20      0.55     0.58     2 
0360320394   40.98031   -105.65924     0.24     -0.29     0.38     1 
0360320395   40.98053   -105.61930     0.27     -0.22     0.35     1 
0360320396   40.98073   -105.57937     0.29     -0.50     0.58     2 
0360320397   40.98093   -105.53943     0.43     -0.29     0.52     2 
0360320399   40.98127   -105.45955     0.76      0.17     0.78     2 
0360320400   40.98143   -105.41961     0.44     -0.31     0.53     2 
0360320401   40.98157   -105.37967    -0.06     -0.06     0.08     1 
0360320402   40.98169   -105.33973    -0.37     -0.14     0.40     1 
0360320404   40.98190   -105.25985     0.10     -0.23     0.25     1 
0360320405   40.98198   -105.21991     0.21     -0.17     0.27     1 
0360320406   40.98205   -105.17997     0.18      0.03     0.18     1 
0360320408   40.98215   -105.10009    -0.45     -0.21     0.50     1 
0360320409   40.98217   -105.06015    -0.26     -0.23     0.35     1 
0360320468   40.95359   -105.69890    -0.01     -0.31     0.31     1 
0360320469   40.95382   -105.65898     0.30     -0.29     0.42     1 
0360320470   40.95404   -105.61906     0.03     -0.29     0.29     1 
0360320471   40.95425   -105.57914     0.40     -0.40     0.56     2 
0360320472   40.95444   -105.53921     0.67     -0.05     0.67     2 
0360320475   40.95494   -105.41944     0.57     -0.35     0.67     2 
0360320476   40.95508   -105.37952     0.19     -0.14     0.24     1 
0360320477   40.95521   -105.33960    -0.28      0.06     0.28     1 
0360320479   40.95541   -105.25975     0.03     -0.25     0.25     1 
0360320480   40.95550   -105.21982     0.10     -0.22     0.25     1 
0360320481   40.95556   -105.17990     0.03     -0.11     0.12     1 
0360320482   40.95562   -105.13998    -0.07     -0.20     0.22     1 
0360320483   40.95566   -105.10005    -0.31     -0.12     0.33     1 
0360320488   40.95566   -104.90042    -0.12     -0.18     0.21     1 
0360320539   40.92603   -105.85824     0.32      0.72     0.79     2 
0360320541   40.92659   -105.77843     0.01      0.38     0.38     1 
0360320544   40.92734   -105.65872     0.62     -0.11     0.63     2 
0360320545   40.92756   -105.61881     0.43     -0.44     0.61     2 
0360320546   40.92777   -105.57891     0.55     -0.35     0.65     2 
0360320547   40.92796   -105.53900     0.79      0.13     0.80     2 
0360320550   40.92846   -105.41928     0.57     -0.15     0.59     2 
0360320551   40.92860   -105.37937    -0.03     -0.03     0.04     1 
0360320556   40.92908   -105.17983    -0.20     -0.05     0.21     1 
