Sat. Apr.  5, 2014             LANDSAT 4                 Time: 17:00
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L10781446            Path/Row: 033 / 032

L0R Reference Image: L41XXX1184198170100_HDF.140952139
Acquisition Date: Jul 16, 1984

Band Number:  4

GeoCover date for each WRS-2 path/row used:
Path  Row   Date
032   032   2000-05-02
032   033   2000-05-02
033   031   2000-06-10
033   032   2002-09-20
033   033   2000-09-14
034   031   1999-10-05
034   032   2001-09-24


Point_ID      Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                   Scan      Scan      In y      in x
                                                 Residual  Residual    dir       dir
                (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0320320006   40.221207 -103.660397  1288.131       0.000     0.000    41.232    -8.132
0320320040   40.415032 -103.388543  1229.002       0.000     0.000    80.195    -9.635
0320320049   40.445996 -103.323422  1220.435       0.000     0.000    49.290   -21.905
0320320050   40.418306 -103.352398  1230.158       0.000     0.000    68.253   -14.501
0320320054   40.820348 -103.309050  1228.830       0.000     0.000  -108.204  -137.319
0320320063   40.468504 -103.592507  1365.870       0.000     0.000   134.903   -18.542
0320320070   39.919698 -103.718946  1384.869       0.000     0.000  -611.333   177.703
0320320071   40.277713 -103.837131  1292.359       0.000     0.000    30.782   -18.041
0320320080   40.914964 -103.549593  1326.235       0.000     0.000    28.386     7.101
0320320112   40.392937 -103.393312  1233.791       0.000     0.000    74.623   -24.819
0320320148   40.270483 -103.533817  1300.550       0.000     0.000    58.219   248.010
0320320155   40.497114 -103.634391  1382.222       0.000     0.000    34.646   -51.412
0320320171   39.795404 -103.674302  1413.309       0.000     0.000   103.486  -377.962
0320320177   40.298662 -103.824064  1329.173       0.000     0.000    32.472   -46.863
0320320198   40.775391 -103.266110  1212.177       0.000     0.000    77.795     4.623
0320320216   40.606327 -103.273325  1208.004       0.000     0.000  -548.919   611.779
0320320236   40.576923 -103.664669  1378.910       0.000     0.000    -4.611   -66.504
0320320251   40.600814 -103.674121  1369.835       0.000     0.000    43.508   -91.978
0320320264   40.772907 -103.317363  1226.395       0.000     0.000    57.617   -33.252
0320320280   39.649848 -103.571491  1502.943       0.000     0.000    66.978    57.610
0320320290   40.792733 -103.269215  1224.184       0.000     0.000    55.493    -6.472
0320320291   40.773082 -103.292475  1222.000       0.000     0.000    78.428   -12.659
0320320317   40.401100 -103.698552  1393.253       0.000     0.000  -892.061   -67.615
0320320325   40.248717 -103.803060  1305.896       0.000     0.000    17.130   -36.593
0320320384   40.441459 -103.346173  1219.680       0.000     0.000    69.475   -25.647
0320320393   40.231636 -103.722255  1293.310       0.000     0.000    59.763   -43.957
0320320413   40.703739 -103.647224  1306.805       0.000     0.000    -4.196   -77.491
0320320423   39.716147 -103.960017  1516.681       0.000     0.000   -46.325    14.937
0320320441   40.957571 -103.585733  1367.856       0.000     0.000     9.585   -26.390
0320330050   39.795400 -103.673952  1412.745       0.000     0.000   100.052  -374.329
0320330169   39.522361 -103.875309  1576.751       0.000     0.000   -23.394    45.858
0320330363   39.520010 -103.912342  1617.760       0.000     0.000   -36.515    51.594
0320330377   39.589855 -103.812731  1501.717       0.000     0.000    42.322   401.746
0330310030   41.098864 -104.870915  1871.972       0.000     0.000   -48.699    47.923
0330310038   40.915784 -103.550287  1328.393       0.000     0.000    26.108     2.127
0330320010   40.902818 -104.674681  1689.691       0.000     0.000   -62.930    -1.889
0330320014   40.225750 -104.766097  1469.042       0.000     0.000   616.467  -111.581
0330320027   40.757021 -104.165029  1500.679       0.000     0.000    27.618   -15.044
0330320028   40.884313 -104.632041  1643.563       0.000     0.000   -36.206    -9.493
0330320032   40.764293 -104.125128  1518.076       0.000     0.000    39.304    -3.862
0330320036   40.390522 -104.721697  1449.078       0.000     0.000   -11.303   -14.174
0330320052   39.838356 -105.085086  1651.199       0.000     0.000   -14.708    -8.171
0330320053   39.874769 -105.461904  2747.018       0.000     0.000   -11.238    -6.885
0330320057   39.950198 -104.853433  1508.000       0.000     0.000    -3.196   -10.662
0330320074   40.559480 -105.078905  1517.747       0.000     0.000   -22.781     1.575
0330320086   40.449686 -103.818605  1398.712       0.000     0.000    -0.724   -50.325
0330320095   40.782262 -103.273753  1222.000       0.000     0.000   251.807    65.481
0330320103   40.824089 -103.969943  1568.326       0.000     0.000    18.514    -5.724
0330320109   40.607059 -105.059102  1501.470       0.000     0.000   -92.541  -155.887
0330320116   40.810514 -103.745360  1398.623       0.000     0.000     1.800   -32.213
0330320117   40.318222 -105.215625  1745.836       0.000     0.000   -73.391    27.083
0330320118   39.820905 -105.409664  2592.809       0.000     0.000   -19.426    29.674
0330320122   40.585868 -105.169688  1643.000       0.000     0.000    49.568    47.382
0330320124   40.775587 -104.471241  1566.465       0.000     0.000   -37.660    -5.132
0330320126   40.350643 -105.222087  1743.086       0.000     0.000   128.367   -36.247
0330320129   40.182197 -104.973453  1467.977       0.000     0.000    -2.918   -27.889
0330320135   40.951908 -103.381260  1382.212       0.000     0.000    32.784   -19.140
0330320141   40.701623 -103.772263  1371.444       0.000     0.000   -16.218   -62.620
0330320144   39.785944 -105.501951  2598.923       0.000     0.000    15.218    -4.706
0330320159   40.733926 -104.462334  1550.581       0.000     0.000   -19.376   -14.006
0330320171   39.997624 -104.574990  1530.000       0.000     0.000  -169.051  -122.215
0330320176   40.447068 -105.037736  1498.000       0.000     0.000    49.967   -20.010
0330320201   39.595244 -103.951346  1609.221       0.000     0.000    16.895    50.008
0330320203   40.331353 -105.099828  1558.982       0.000     0.000     9.679   -46.918
0330320204   40.444101 -104.749777  1412.000       0.000     0.000   -29.184   -35.613
0330320213   40.783765 -105.117569  1652.000       0.000     0.000   364.695   136.626
0330320223   39.937008 -104.732672  1551.824       0.000     0.000  -556.655   192.863
0330320236   40.066875 -105.205684  1560.660       0.000     0.000    11.270    -4.315
0330320241   40.729176 -105.113921  1598.551       0.000     0.000     7.371    37.785
0330320243   39.731219 -104.827992  1631.832       0.000     0.000     3.156    30.333
0330320244   40.534626 -105.061164  1508.109       0.000     0.000    -9.956    -1.452
0330320246   39.832431 -104.952552  1543.990       0.000     0.000     7.711    -0.942
0330320250   40.178405 -104.948084  1453.160       0.000     0.000   -99.750   570.072
0330320251   40.021634 -104.942578  1549.984       0.000     0.000    11.132   -36.433
0330320255   40.339971 -105.130924  1550.082       0.000     0.000    13.758   -24.004
0330320256   40.487326 -103.908563  1423.882       0.000     0.000    13.774   -63.625
0330320257   40.854631 -105.009491  1698.143       0.000     0.000   490.544   490.948
0330320258   39.505688 -103.856387  1589.759       0.000     0.000    21.117    72.620
0330320260   40.528056 -105.151833  1651.062       0.000     0.000    95.164   103.260
0330320264   40.687055 -105.062013  1578.527       0.000     0.000   -55.056   -29.214
0330320267   40.241682 -104.652473  1453.018       0.000     0.000   261.305   631.175
0330320271   39.512194 -103.974232  1608.953       0.000     0.000   186.371  -547.896
0330320272   39.684283 -105.083497  1676.266       0.000     0.000   -13.312    13.685
0330320287   39.786433 -105.113752  1624.910       0.000     0.000    -8.883    18.301
0330320288   40.653543 -105.061982  1554.000       0.000     0.000    -9.799    -4.399
0330320290   40.195065 -105.158841  1534.868       0.000     0.000    48.212   -26.801
0330320302   40.228626 -105.121541  1540.389       0.000     0.000    29.799   -39.182
0330320308   39.820897 -105.210557  1743.000       0.000     0.000     8.304    -7.160
0330320309   40.657260 -105.137930  1576.076       0.000     0.000   -14.072    -0.803
0330320311   39.484972 -103.894400  1675.889       0.000     0.000    23.860    73.526
0330320317   40.110576 -105.249466  1619.975       0.000     0.000     6.201   -35.570
0330320327   40.537304 -104.903173  1489.860       0.000     0.000   475.566   284.184
0330320330   40.889653 -105.160491  1792.932       0.000     0.000  -518.533  -214.419
0330320340   40.655140 -105.097471  1535.000       0.000     0.000   -17.978    -7.044
0330320344   40.611322 -105.132161  1533.277       0.000     0.000   -21.984     7.510
0330320350   40.213538 -104.641335  1451.564       0.000     0.000  -461.858    60.627
0330320353   40.364776 -105.176199  1599.700       0.000     0.000   -15.723   -17.529
0330320359   39.873459 -105.125121  1668.465       0.000     0.000    43.595    81.190
0330320369   40.261027 -105.149117  1543.355       0.000     0.000    -3.035   -29.245
0330320377   40.191764 -105.196193  1548.212       0.000     0.000    23.516   -19.706
0330320379   39.876079 -105.400169  2777.041       0.000     0.000   -10.118    20.409
0330320402   40.705749 -105.236048  1659.507       0.000     0.000   -27.973    -4.162
0330320415   40.981027 -103.496084  1395.918       0.000     0.000    28.572   -42.527
0330320416   40.971333 -103.457797  1394.299       0.000     0.000    46.440   -37.121
0330320422   39.724917 -105.334884  2089.173       0.000     0.000     1.202    23.222
0330320425   39.698491 -105.311662  2252.458       0.000     0.000   -18.816    24.734
0330320427   39.730558 -105.239689  2216.098       0.000     0.000   -34.734   -11.351
0330330006   39.660693 -104.844953  1697.628       0.000     0.000    -5.115    43.555
0330330027   39.634628 -104.775092  1729.246       0.000     0.000    23.171    30.960
0330330069   39.755852 -105.146621  1685.451       0.000     0.000     0.745    -9.034
0330330112   39.506581 -103.864747  1598.984       0.000     0.000    19.242    70.881
0330330233   39.520014 -103.912691  1617.570       0.000     0.000    13.886    72.966
