==============================================================================
==============================================================================
 Apr. 5 2014                  LANDSAT 4                       Time: 22:03
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101404017861_00005                          Path / Row - 33 / 32
Reference Image: L41XXX1184198170100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 47.1%
Rank   2 -- 43.3%
Rank   3 --  9.7%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0330320483   41.14083   -104.56984     0.48     -0.37     0.61     2 
0330320703   41.06678   -104.75243     0.76     -0.86     1.15     3 
0330320704   41.06670   -104.71601     0.85     -0.38     0.93     2 
0330320705   41.06660   -104.67959     0.79     -0.53     0.95     2 
0330320707   41.06638   -104.60675     0.97     -0.50     1.09     3 
0330320782   41.04151   -104.60689     1.06     -0.41     1.14     3 
0330320857   41.01665   -104.60704     0.92     -0.50     1.05     3 
0330320929   40.99211   -104.71633     0.89     -0.44     0.99     2 
0330320957   40.98510   -103.69784    -0.46     -0.27     0.53     2 
0330320961   40.98337   -103.55237    -0.41      0.12     0.42     1 
0330321000   40.96751   -104.86190     0.82     -0.01     0.82     2 
0330321004   40.96725   -104.71644     0.86     -0.22     0.89     2 
0330321029   40.96143   -103.80739    -0.21     -0.43     0.48     1 
0330321032   40.96025   -103.69832    -0.26      0.28     0.38     1 
0330321035   40.95896   -103.58927    -0.15     -0.03     0.15     1 
0330321037   40.95805   -103.51657    -0.37      0.11     0.39     1 
0330321075   40.94265   -104.86195     0.77     -0.27     0.81     2 
0330321076   40.94260   -104.82560     0.71     -0.22     0.75     2 
0330321077   40.94254   -104.78925     0.82     -0.01     0.82     2 
0330321078   40.94247   -104.75289     0.58     -0.21     0.62     2 
0330321099   40.93831   -103.98955    -0.47     -0.67     0.82     2 
0330321104   40.93657   -103.80783    -0.26     -0.22     0.34     1 
0330321105   40.93619   -103.77149    -0.34      0.19     0.39     1 
0330321150   40.91779   -104.86200     1.14     -0.24     1.17     3 
0330321151   40.91774   -104.82567     1.06     -0.18     1.07     3 
0330321152   40.91768   -104.78933     1.01     -0.07     1.01     3 
0330321154   40.91752   -104.71665     0.74     -0.12     0.75     2 
0330321156   40.91732   -104.64397     0.73     -0.14     0.74     2 
0330321157   40.91720   -104.60763     0.90      0.15     0.91     2 
0330321158   40.91707   -104.57129     0.90      0.09     0.90     2 
0330321168   40.91515   -104.20793    -0.73     -0.17     0.75     2 
0330321174   40.91345   -103.98993    -0.06     -0.73     0.73     2 
0330321180   40.91133   -103.77195    -0.36      0.37     0.52     2 
0330321192   40.90586   -103.33608    -0.68     -0.54     0.87     2 
0330321193   40.90534   -103.29976    -0.88     -0.39     0.96     2 
0330321218   40.89295   -105.11634     0.68     -0.68     0.96     2 
0330321228   40.89274   -104.75308     1.09      0.08     1.09     3 
0330321229   40.89266   -104.71675     0.83      0.06     0.83     2 
0330321231   40.89246   -104.64410     0.82     -0.17     0.84     2 
0330321232   40.89234   -104.60778     0.82      0.01     0.82     2 
0330321233   40.89221   -104.57146     0.67     -0.06     0.67     2 
0330321243   40.89029   -104.20823    -0.80     -0.34     0.87     2 
0330321244   40.89003   -104.17190    -0.24     -0.34     0.42     1 
0330321247   40.88920   -104.06295    -0.94     -0.26     0.98     2 
0330321248   40.88890   -104.02663    -0.38      0.21     0.44     1 
0330321249   40.88859   -103.99031    -0.32     -0.17     0.36     1 
0330321255   40.88647   -103.77241    -0.36      0.61     0.71     2 
0330321256   40.88608   -103.73610     0.04      0.41     0.41     1 
0330321257   40.88568   -103.69979    -0.04      0.28     0.28     1 
0330321269   40.87994   -103.26410    -1.11     -0.38     1.17     3 
0330321271   40.87883   -103.19149    -1.14     -0.31     1.18     3 
0330321323   40.86404   -104.02699    -0.28      0.00     0.28     1 
0330321324   40.86373   -103.99069    -0.45      0.03     0.46     1 
0330321325   40.86341   -103.95438    -0.51      0.06     0.51     2 
