Tue. Feb.  9, 2016             LANDSAT 5                 Time: 22:35
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L17887241            Path/Row: 034 / 032

L0R Reference Image: L51AAA1186203060500_HDF.160410409
Acquisition Date: Jul 21, 1986

Band Number:  4

GLS date for each WRS-2 path/row used:
Path  Row   Date
033   032   09-20-2002
033   033   09-14-2000
034   031   10-05-1999
034   032   09-24-2001
034   033   09-24-2001
035   031   09-12-2000
035   032   09-12-2000


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0330320010_02   40.902818 -104.674681  1689.561       0.000     0.000    -9.892    -3.189
0330320015_02   39.949176 -105.364773  2217.265       0.000     0.000    71.295   -12.037
0330320022_02   40.862705 -105.089231  1708.610       0.000     0.000   -14.703    23.767
0330320028_02   40.884042 -104.631686  1642.887       0.000     0.000    11.742     5.052
0330320030_02   40.215235 -105.416964  2111.725       0.000     0.000    -3.920   -21.055
0330320052_02   39.838356 -105.084735  1650.901       0.000     0.000     3.657    -4.694
0330320053_02   39.874498 -105.461902  2746.875       0.000     0.000   -18.351     3.874
0330320064_02   40.891083 -105.087132  1753.776       0.000     0.000    -0.428    19.052
0330320092_02   40.838042 -105.155029  1759.000       0.000     0.000    -7.088     0.309
0330320100_02   40.367788 -105.148645  1550.036       0.000     0.000    -6.099    12.588
0330320117_02   40.317952 -105.215271  1743.692       0.000     0.000   -73.231    33.825
0330320118_02   39.820906 -105.409313  2591.494       0.000     0.000   -28.492     0.459
0330320122_02   40.585598 -105.169688  1643.000       0.000     0.000    60.301    59.702
0330320125_02   40.861112 -105.036902  1706.667       0.000     0.000   -17.020   -15.558
0330320126_02   40.350643 -105.222087  1743.505       0.000     0.000    86.238    -9.681
0330320129_02   40.182197 -104.973101  1466.643       0.000     0.000     6.469    -6.883
0330320144_02   39.785945 -105.501601  2589.221       0.000     0.000    -6.453     2.873
0330320150_02   40.290377 -105.219066  1696.156       0.000     0.000    -8.975     2.311
0330320176_02   40.447068 -105.037736  1498.000       0.000     0.000    33.490   -12.960
0330320179_02   40.816090 -105.195174  1757.009       0.000     0.000   -13.656     0.086
0330320203_02   40.331353 -105.099475  1558.370       0.000     0.000     0.031   -29.796
0330320230_02   40.311811 -105.170060  1582.554       0.000     0.000    42.953   -24.897
0330320236_02   40.066605 -105.205331  1560.471       0.000     0.000    -7.235     8.290
0330320239_02   40.272363 -105.297343  1751.479       0.000     0.000    -6.248   -12.660
0330320244_02   40.534356 -105.060810  1508.000       0.000     0.000    -9.650    18.729
0330320255_02   40.339701 -105.130570  1550.000       0.000     0.000    13.525    -9.798
0330320257_02   40.854631 -105.009136  1697.404       0.000     0.000   -12.849    -8.979
0330320260_02   40.528056 -105.151478  1644.550       0.000     0.000    93.313   106.501
0330320264_02   40.686785 -105.062013  1577.578       0.000     0.000   -31.049   -13.069
0330320272_02   39.684013 -105.083497  1676.011       0.000     0.000    24.922     7.521
0330320288_02   40.653272 -105.061982  1554.000       0.000     0.000    -2.568    10.106
0330320290_02   40.195066 -105.158489  1534.157       0.000     0.000    43.180   -17.911
0330320302_02   40.228626 -105.121541  1540.302       0.000     0.000    23.012   -25.670
0330320308_02   39.820897 -105.210557  1743.000       0.000     0.000    10.997     3.598
0330320309_02   40.656990 -105.137929  1573.748       0.000     0.000     1.004    -2.444
0330320317_02   40.110306 -105.249113  1620.201       0.000     0.000   -12.107   -41.556
0330320340_02   40.654870 -105.097115  1535.000       0.000     0.000   -12.117    15.823
0330320342_02   39.908285 -105.388423  2706.844       0.000     0.000   -11.497    -7.325
0330320344_02   40.611052 -105.131806  1535.204       0.000     0.000   -19.848    11.491
0330320353_02   40.364777 -105.175846  1597.276       0.000     0.000    -9.700    -3.568
0330320359_02   39.873459 -105.125121  1667.981       0.000     0.000    63.082    96.664
0330320369_02   40.261028 -105.148764  1543.671       0.000     0.000   -15.980     0.211
0330320377_02   40.191495 -105.195839  1547.794       0.000     0.000    -4.786   -19.211
0330320379_02   39.875810 -105.399816  2762.105       0.000     0.000   -28.355    -6.637
0330320387_02   39.911088 -105.254708  1838.386       0.000     0.000   -35.303   -19.724
0330320402_02   40.705749 -105.236048  1658.626       0.000     0.000    -5.077    -9.169
0330320403_02   39.685559 -105.387522  2449.354       0.000     0.000   -36.467     1.873
0330320411_02   40.926658 -105.174120  1934.524       0.000     0.000    -8.409    19.476
0330320417_02   39.648732 -105.198845  1802.499       0.000     0.000   -11.844   -30.255
0330320418_02   40.597514 -105.292751  2211.880       0.000     0.000   -20.368    -3.068
0330320422_02   39.724647 -105.334533  2087.152       0.000     0.000    -6.766    -5.068
0330320423_02   39.645800 -105.173312  1728.000       0.000     0.000     1.950   -16.346
0330320425_02   39.698222 -105.311310  2241.830       0.000     0.000   -17.263    -7.778
0330320427_02   39.730558 -105.239689  2214.593       0.000     0.000   -16.310    -5.924
0330320428_02   39.655213 -105.322308  2154.432       0.000     0.000   -18.657    -9.973
0330320429_02   40.975600 -105.154637  2065.141       0.000     0.000   -18.312     9.704
0330330001_02   39.560601 -105.204530  2251.796       0.000     0.000    -5.776    20.499
0330330012_02   39.645971 -105.340447  2256.003       0.000     0.000   -13.147    -4.487
0330330069_02   39.755852 -105.146621  1684.978       0.000     0.000    33.303    14.042
0330330131_02   39.788233 -105.534202  2886.607       0.000     0.000    -0.010    32.497
0330330147_02   39.827878 -105.493141  2760.471       0.000     0.000    -6.956    13.638
0330330155_02   39.526878 -105.298676  2514.468       0.000     0.000   -34.228   -13.027
0330330208_02   39.660138 -105.164954  1743.429       0.000     0.000   -12.777     2.318
0330330218_02   39.621495 -105.156823  1764.518       0.000     0.000     6.294     5.253
0330330287_02   39.497249 -105.254238  2575.042       0.000     0.000    -9.926    12.584
0330330299_02   39.801131 -105.490147  2489.767       0.000     0.000     4.487     2.092
0330330324_02   39.604204 -105.150145  1796.481       0.000     0.000    -1.910    12.127
0330330340_02   39.682934 -105.079297  1670.042       0.000     0.000    18.274    -0.163
0330330348_02   39.682885 -105.378411  2406.152       0.000     0.000   -29.518     5.218
0330330395_02   39.538832 -105.371343  2784.627       0.000     0.000   -12.245    -4.764
0340310045_02   41.014250 -104.848603  1869.491       0.000     0.000    -9.933    -1.960
0340310053_02   41.104273 -105.571877  2276.380       0.000     0.000    17.720   -17.346
0340310066_02   40.975922 -105.110065  2032.099       0.000     0.000     7.546    -8.664
0340310105_02   41.071102 -105.933681  2315.739       0.000     0.000     2.401   -30.760
0340310115_02   41.145472 -105.781013  2199.000       0.000     0.000     1.224   -34.411
0340310122_02   41.088829 -105.678900  2271.995       0.000     0.000     2.269   -27.072
0340310127_02   40.910226 -104.866295  1732.030       0.000     0.000   -29.907   -31.860
0340310139_02   40.926658 -105.174120  1934.524       0.000     0.000     4.088    -1.150
0340310143_02   41.044234 -105.297221  2353.389       0.000     0.000     7.992    16.190
0340310244_02   40.919947 -105.140256  1960.009       0.000     0.000     1.418     0.114
0340310264_02   41.073244 -106.145471  2750.221       0.000     0.000    -3.729    28.595
0340310268_02   41.239420 -106.436198  2653.039       0.000     0.000    -0.981    18.800
0340310271_02   41.114736 -106.568899  2341.627       0.000     0.000   -13.978    -4.081
0340310305_02   41.256279 -106.491713  2721.535       0.000     0.000    63.143   -12.352
0340310324_02   41.208874 -106.251963  2878.817       0.000     0.000     7.783    11.156
0340310342_02   41.124677 -105.648177  2233.800       0.000     0.000    18.549   -16.869
0340310387_02   41.134082 -105.703315  2219.007       0.000     0.000    14.686   -23.994
0340310398_02   40.975600 -105.154637  2065.141       0.000     0.000   -13.132     1.066
0340310401_02   41.105065 -106.178892  2750.201       0.000     0.000   -14.235    20.843
0340310411_02   41.107403 -106.288619  2780.799       0.000     0.000    -5.823    18.857
0340310412_02   41.125337 -106.327567  2664.182       0.000     0.000     1.948    18.059
0340310415_02   41.070991 -106.306476  2548.369       0.000     0.000   -22.652    18.320
0340310420_02   41.129364 -106.353023  2695.571       0.000     0.000     9.634    15.779
0340310421_02   41.116596 -106.263786  2693.140       0.000     0.000   -18.499    20.762
0340310422_02   41.133467 -106.438173  2254.928       0.000     0.000    43.658    17.595
0340310423_02   41.083482 -106.348153  2676.362       0.000     0.000    -0.692    17.765
0340320001_02   39.917702 -105.401113  2690.767       0.000     0.000    -0.979     4.762
0340320011_02   39.506654 -105.278350  2526.448       0.000     0.000    -6.390     1.290
0340320013_02   39.948116 -105.358095  2165.516       0.000     0.000     8.453   -11.168
0340320014_02   40.568304 -105.391149  2439.219       0.000     0.000   -12.394    -3.168
0340320023_02   39.639704 -105.254059  2287.842       0.000     0.000    -8.744     7.854
0340320025_02   39.645700 -105.340446  2257.770       0.000     0.000   -11.647    -0.679
0340320026_02   39.741201 -106.135360  2575.566       0.000     0.000    -4.879   -15.610
0340320039_02   39.783615 -105.406289  2628.895       0.000     0.000   -11.459   -15.538
0340320042_02   40.158879 -105.840398  2520.403       0.000     0.000    54.132   -21.707
0340320043_02   40.838041 -105.155740  1759.000       0.000     0.000    -4.445     3.720
0340320058_02   40.161451 -105.893976  2515.200       0.000     0.000    12.159    36.918
0340320060_02   40.653002 -105.061982  1554.000       0.000     0.000     7.781     5.548
0340320065_02   40.611052 -105.131806  1535.204       0.000     0.000    -5.858    14.604
0340320067_02   40.884042 -104.631686  1642.887       0.000     0.000    10.922    -0.522
0340320072_02   39.803920 -107.057666  2483.861       0.000     0.000   -14.883   -30.848
0340320077_02   40.146111 -106.795729  3079.797       0.000     0.000    15.345    18.998
0340320079_02   40.180131 -105.816698  2516.659       0.000     0.000    28.300    -4.746
0340320080_02   39.807544 -107.020628  2204.209       0.000     0.000    -3.704     9.609
0340320081_02   39.724602 -105.244569  2222.721       0.000     0.000   -12.524     2.172
0340320083_02   40.624884 -105.079691  1517.000       0.000     0.000   -40.054   -60.649
0340320085_02   39.875810 -105.399816  2762.105       0.000     0.000   -22.014    -2.395
0340320087_02   40.308126 -105.077552  1518.814       0.000     0.000    -4.349   -25.788
0340320092_02   40.306020 -106.579327  2489.108       0.000     0.000     7.310    46.418
0340320094_02   40.007445 -106.214623  2375.178       0.000     0.000   -23.660   -28.294
0340320096_02   40.584417 -105.962327  2935.236       0.000     0.000   -19.687   -27.270
0340320097_02   39.889034 -105.198485  1812.654       0.000     0.000   -20.998   -25.985
0340320102_02   40.388378 -105.103801  1512.976       0.000     0.000   -10.287   -10.141
0340320105_02   40.591114 -106.600906  2650.183       0.000     0.000    19.780    47.052
0340320106_02   41.126133 -105.721457  2221.252       0.000     0.000    11.485   -15.676
0340320109_02   39.968165 -105.898127  2652.569       0.000     0.000     2.467   -22.493
0340320110_02   40.191429 -105.231436  1581.008       0.000     0.000    -6.179    -8.338
0340320111_02   39.820906 -105.409313  2591.494       0.000     0.000   -24.606     5.320
0340320116_02   40.133951 -105.811215  2515.000       0.000     0.000    28.370   -30.438
0340320121_02   40.215399 -106.585330  2900.083       0.000     0.000     1.592    30.233
0340320126_02   39.546437 -105.062382  1644.000       0.000     0.000    40.144    24.769
0340320132_02   39.690788 -105.358511  2377.808       0.000     0.000   -26.767     7.513
0340320135_02   40.492209 -105.008378  1470.000       0.000     0.000   -13.715    -7.749
0340320145_02   40.041201 -105.203497  1558.551       0.000     0.000    -0.589     5.970
0340320146_02   41.208874 -106.251963  2878.817       0.000     0.000     6.806    10.201
0340320148_02   40.106260 -105.967875  2408.258       0.000     0.000    13.707   -37.879
0340320152_02   40.413810 -106.147648  2683.746       0.000     0.000   -21.556   -15.724
0340320153_02   40.221179 -105.601759  3133.524       0.000     0.000    14.679     4.649
0340320154_02   40.404081 -105.068117  1509.897       0.000     0.000    -6.845     2.685
0340320155_02   39.787174 -107.026338  2190.242       0.000     0.000     2.904    -2.291
0340320156_02   40.614423 -105.858492  2781.967       0.000     0.000     0.451   -19.543
0340320162_02   40.506263 -104.984656  1458.000       0.000     0.000   -23.308    20.831
0340320165_02   40.003078 -105.210062  1599.232       0.000     0.000     3.345    -5.982
0340320166_02   40.832243 -106.515611  2463.938       0.000     0.000    23.398    22.061
0340320168_02   40.539582 -106.291844  2530.293       0.000     0.000   -13.539    11.527
0340320169_02   39.900198 -105.764585  2862.585       0.000     0.000    14.013    13.258
0340320171_02   39.785947 -105.501251  2590.655       0.000     0.000    -3.194    10.006
0340320173_02   41.087748 -105.678889  2269.496       0.000     0.000    -0.073   -39.531
0340320174_02   39.746879 -105.955124  3594.747       0.000     0.000    65.964     7.480
0340320176_02   40.215236 -105.416612  2097.984       0.000     0.000   -10.246    -5.854
0340320177_02   40.829485 -106.435498  2457.000       0.000     0.000    52.436    45.497
0340320182_02   39.788233 -105.534202  2886.607       0.000     0.000     2.666    27.481
0340320183_02   40.186890 -106.575151  2754.962       0.000     0.000     5.252    40.245
0340320185_02   40.662054 -105.471905  2208.035       0.000     0.000    17.487     8.723
0340320188_02   40.320796 -105.513659  2518.684       0.000     0.000   -16.453     7.018
0340320189_02   40.158143 -105.019257  1486.362       0.000     0.000    30.038    34.391
0340320190_02   40.167437 -105.197179  1555.691       0.000     0.000    -5.362    -7.740
0340320195_02   40.207371 -105.492356  2484.688       0.000     0.000     0.444     2.419
0340320198_02   39.837893 -106.968930  2361.627       0.000     0.000   -15.130     9.080
0340320199_02   40.585991 -104.977548  1512.131       0.000     0.000     4.604     7.008
0340320201_02   39.762327 -106.994091  2034.998       0.000     0.000    -0.707    19.399
0340320203_02   39.769865 -107.057702  2215.377       0.000     0.000     1.078   -15.574
0340320204_02   40.792176 -106.479497  2450.302       0.000     0.000     1.145    19.709
0340320205_02   40.021904 -104.942226  1550.050       0.000     0.000    23.954    17.260
0340320207_02   40.747834 -105.103292  1604.707       0.000     0.000    50.235    12.667
0340320208_02   40.858124 -104.640017  1639.272       0.000     0.000    11.099     2.887
0340320212_02   39.729429 -107.005394  1978.096       0.000     0.000    17.756    23.580
0340320216_02   40.648691 -104.971850  1553.000       0.000     0.000   -13.826   -18.618
0340320219_02   41.042968 -106.619304  2595.247       0.000     0.000   -16.333    -8.249
0340320223_02   39.796262 -106.969493  2021.888       0.000     0.000     8.322    23.365
0340320226_02   40.962705 -104.921092  1805.311       0.000     0.000    -6.872    13.054
0340320227_02   40.673547 -106.346249  2474.487       0.000     0.000    -7.849    20.164
0340320230_02   40.847264 -105.672870  2728.257       0.000     0.000   -22.678     1.036
0340320238_02   40.346387 -105.532575  2442.664       0.000     0.000     6.475    10.700
0340320241_02   39.698161 -105.333355  2346.223       0.000     0.000   -26.413     2.461
0340320245_02   40.860304 -106.783205  2856.691       0.000     0.000   -36.809   -49.445
0340320246_02   40.339701 -105.130570  1550.000       0.000     0.000     3.400    -9.506
0340320247_02   39.617295 -106.173524  3479.229       0.000     0.000     0.400   -10.813
0340320248_02   40.733201 -106.717991  2937.858       0.000     0.000     3.996   -14.407
0340320251_02   39.538832 -105.371343  2784.627       0.000     0.000    -5.644    -8.783
0340320256_02   39.740795 -105.053104  1619.724       0.000     0.000    20.065    23.890
0340320257_02   39.944158 -105.207774  1727.328       0.000     0.000   -13.041     2.800
0340320259_02   40.514768 -105.884841  3141.208       0.000     0.000     5.836   -54.658
0340320260_02   39.838356 -105.084735  1650.901       0.000     0.000     0.891    -9.335
0340320261_02   40.192876 -105.177164  1546.721       0.000     0.000    -6.743   -15.631
0340320262_02   39.879478 -105.750321  2854.875       0.000     0.000     3.751    19.886
0340320266_02   40.853981 -106.100043  3184.903       0.000     0.000   -11.614     0.278
0340320275_02   40.616255 -105.042796  1523.319       0.000     0.000     9.812    15.942
0340320276_02   39.605473 -106.023066  2760.767       0.000     0.000    24.547   -22.917
0340320277_02   40.163808 -105.054489  1500.817       0.000     0.000   -18.020     9.178
0340320278_02   39.523611 -105.396742  3027.477       0.000     0.000    -1.463     4.066
0340320281_02   39.900412 -105.398556  2695.450       0.000     0.000    -8.537   -11.483
0340320285_02   40.748971 -106.320763  2444.850       0.000     0.000    17.604     4.986
0340320287_02   40.580072 -105.996648  2751.800       0.000     0.000   -19.205   -45.222
0340320293_02   40.304527 -105.881032  2916.162       0.000     0.000     2.835   -31.197
0340320294_02   40.626779 -105.832047  2874.001       0.000     0.000     0.043   -33.393
