==============================================================================
==============================================================================
Wed. Feb. 10 2016                  LANDSAT 5                       Time: 04:36
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 9991602090003_12564                          Path / Row - 34 / 32
Reference Image: L51AAA1186203060500_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 83.2%
Rank   2 -- 16.8%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0340320172   41.23617   -106.45796     0.05     -0.31     0.31     1 
0340320247   41.21132   -106.45741    -0.40     -0.21     0.45     1 
0340320248   41.21179   -106.42021    -0.50     -0.25     0.56     2 
0340320321   41.18599   -106.49405    -0.36      0.01     0.36     1 
0340320322   41.18647   -106.45686    -0.60      0.17     0.62     2 
0340320323   41.18693   -106.41967    -0.28     -0.05     0.29     1 
0340320324   41.18738   -106.38248     0.01     -0.12     0.12     1 
0340320328   41.18907   -106.23370    -0.13     -0.39     0.41     1 
0340320395   41.16065   -106.53066    -0.47      0.12     0.49     1 
0340320396   41.16114   -106.49349    -0.37     -0.08     0.37     1 
0340320397   41.16161   -106.45631    -0.19      0.15     0.24     1 
0340320398   41.16208   -106.41913    -0.44     -0.11     0.45     1 
0340320399   41.16253   -106.38195    -0.17     -0.45     0.49     1 
0340320404   41.16461   -106.19605     0.18     -0.20     0.27     1 
0340320473   41.13722   -106.41860    -0.46     -0.46     0.65     2 
0340320474   41.13767   -106.38143    -0.41     -0.11     0.42     1 
0340320475   41.13811   -106.34427    -0.14     -0.23     0.27     1 
0340320479   41.13975   -106.19560     0.20     -0.24     0.31     1 
0340320480   41.14013   -106.15843     0.16     -0.21     0.26     1 
0340320549   41.11282   -106.38091    -0.23     -0.21     0.31     1 
0340320550   41.11326   -106.34376    -0.19     -0.25     0.31     1 
0340320551   41.11369   -106.30661     0.01     -0.25     0.25     1 
0340320552   41.11410   -106.26945     0.26     -0.37     0.46     1 
0340320553   41.11451   -106.23230     0.32     -0.31     0.45     1 
0340320560   41.11699   -105.97221     0.39      0.53     0.66     2 
0340320623   41.08751   -106.41753    -0.57      0.01     0.57     2 
0340320624   41.08796   -106.38039    -0.29     -0.16     0.33     1 
0340320625   41.08840   -106.34325    -0.05     -0.35     0.35     1 
0340320626   41.08883   -106.30612     0.14     -0.27     0.30     1 
0340320627   41.08924   -106.26898     0.29     -0.17     0.34     1 
0340320633   41.09148   -106.04613     0.64      0.19     0.67     2 
0340320634   41.09182   -106.00899     0.50      0.41     0.64     2 
0340320635   41.09213   -105.97184     0.31      0.26     0.40     1 
0340320636   41.09244   -105.93470    -0.08      0.45     0.46     1 
0340320637   41.09274   -105.89755    -0.06      0.28     0.28     1 
0340320638   41.09302   -105.86041    -0.08      0.23     0.24     1 
0340320639   41.09329   -105.82326    -0.15      0.33     0.37     1 
0340320643   41.09426   -105.67467    -0.16      0.52     0.54     2 
0340320644   41.09447   -105.63752    -0.28      0.18     0.34     1 
0340320645   41.09467   -105.60037    -0.34      0.25     0.42     1 
0340320646   41.09486   -105.56322    -0.34      0.35     0.49     1 
0340320648   41.09520   -105.48892     0.13      0.33     0.35     1 
0340320694   41.06074   -106.56547    -0.11     -0.14     0.18     1 
0340320698   41.06266   -106.41699    -0.60      0.32     0.68     2 
0340320699   41.06311   -106.37987    -0.36     -0.06     0.36     1 
0340320701   41.06397   -106.30562     0.36     -0.32     0.48     1 
0340320702   41.06439   -106.26850     0.26     -0.29     0.39     1 
0340320704   41.06518   -106.19425     0.02     -0.12     0.12     1 
0340320708   41.06663   -106.04573     0.38      0.02     0.38     1 
0340320711   41.06758   -105.93434    -0.08      0.32     0.33     1 
0340320712   41.06788   -105.89721    -0.22      0.41     0.47     1 
0340320713   41.06816   -105.86008    -0.01      0.29     0.29     1 
0340320714   41.06843   -105.82295    -0.11      0.32     0.34     1 
0340320768   41.03537   -106.60199     0.25     -0.17     0.30     1 
